q301,q302,q303_1,q303_10,q303_11,q303_2,q303_3,q303_4,q303_5,q303_6,q303_7,q303_8,q303_9,q308a,q308b,q308c,q308d,q308e,q309a,q309b,q316,q317,q318a,q320a,q320c,q320d,q321a,q321b,q321c,q321d,q321e,q321f,q322a,q322b,q322c,q322c_new,q322d_new,q322f,q324a,q324b,q324c,q324d,q325a,q325b,q325c,q325d,q325e_new,q325f_new,q326,q327a,q327c,q327d,q327e,q328b,q328d,q328e,q328f,q331a,q331b,q331c,q332a,q332b,q332c,q332e,q334A,q334B,q334C,q334D,q334E,q334F,q335,q401,q414A,q414B,q414C,q414D,q414E,q415a,q415b,q415c,q415d,q416,q417_a,q417_b,q417_c,q417_d,q417_e,q417a_1,q417a_2,q417a_3,q417a_4,q417a_5,q417a_6,q417a_7,q417a_8,q418a,q422a,q422b,q422c,q422d,q422e,q422f,q422g,q422h,q426_1,q426_2,q426_3,q426_4,q426_5,q427_a,q427_b,q427_c,q427_d,qapp_dtrmp,children,edloan,educ,employ,gender,hadjob,hispanic,ideo5,immstat,income,industryclass,investor,marstat,metro,newsint,ownhome,pew_bornagain,pew_churatd,pew_prayer,pew_religimp,pid3,pid7,race,religion,sexuality,trans,union,urbancity,votereg,age,health_ins,military,abbr,state,dem_agree,gop_agree,econ,social,inc3,st_type,fname,lname,loc,cutout
2,3,2,2,2,2,2,2,2,2,2,2,2,1,3,,4,3,1,2,1,1,2,1,2,1,2,,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,2,1,1,,1,2,1,1,1,1,1,1,1,1,1,6,2,5,1,3,4,2,5,2,2,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,2,2,1,2,2,2,4,4,2,5,1,4,3,3,3,1,3,3,1,3,3,3,3,1,2,1,5,1,2,,2,4,3,8,19,2,3,"\""TRI-CITIES",1,2,1,2,1,1,4,4,1,1,1,2,3,3,1,62,employer,family_veteran,VA,Virginia,0.16129032258064516,0.7903225806451613,0.6857142857142857,0.6428571428571429,$$,purple,Amber,Fitzgerald,"Tri, Virginia",l
1,2,2,1,2,2,2,2,2,2,2,2,2,1,4,2,1,2,1,1,1,1,0,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,5,6,6,1,6,4,2,5,1,1,2,2,1,1,2,1,2,1,2,1,1,1,1,2,2,2,2,2,2,1,2,2,5,1,2,4,2,4,3,5,5,2,2,3,3,3,1,2,3,1,1,2,5,7,2,1,2,3,1,11,13,1,1,MIAMI-FT. LAUDERDALE,1,1,2,6,6,4,3,5,1,11,1,2,3,2,1,57,employer,no,FL,Florida,0.390625,0.65625,0.2,0.14285714285714285,$$,purple,Kathryn,Blackburn,a suburb of Miami,g
2,2,2,2,1,2,2,2,2,2,2,2,2,2,3,2,3,5,3,4,1,1,0,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,2,2,1,6,6,6,1,6,4,3,5,1,1,2,1,1,1,2,1,,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,4,2,3,2,3,3,3,3,2,3,2,2,3,2,3,3,2,4,1,4,1,2,,2,4,5,6,7,1,3,CEDAR RAPIDS-WTRLO-IWC&DUB,2,1,1,4,1,1,2,6,1,1,1,2,3,4,1,56,employer,no,IA,Iowa,0.4444444444444444,0.5555555555555556,-0.14285714285714285,0.35714285714285715,$$,purple,Sophia,Bruce,"Cedar Rapids, Iowa",k
2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,3,5,4,4,1,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,2,2,2,2,6,2,1,1,7,8,2,5,2,2,2,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,2,4,3,2,3,2,3,4,1,4,3,3,2,3,3,3,3,3,1,0,2,4,2,2,,2,4,5,8,9,2,6,,2,1,2,4,2,2,2,7,1,2,1,2,3,4,1,21,employer,no,NJ,New Jersey,0.359375,0.5625,0.37142857142857144,0.25,$$,blue,Emily,Leblanc,a rural area of New Jersey,g
1,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,5,4,4,1,4,6,2,5,2,2,2,2,1,2,2,2,2,2,2,1,1,,1,2,2,2,2,2,1,2,2,2,3,3,2,5,2,4,4,4,4,3,3,3,2,2,3,2,3,2,6,2,3,5,2,2,2,4,5,5,9,2,1,PHOENIX (PRESCOTT),1,3,2,4,3,2,2,7,6,11,1,2,3,3,1,66,medicare,family_veteran,AZ,Arizona,0.24193548387096775,0.7580645161290323,0.3142857142857143,0.6071428571428571,$$,red,Margaret,Ingram,"Phoenix, Arizona",s
2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,3,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,1,2,2,3,6,5,3,6,5,3,5,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,4,3,3,2,3,4,2,1,3,3,2,2,2,3,3,4,0,2,5,8,1,1,2,2,5,3,14,1,5,MADISON,1,2,2,6,7,4,1,1,1,9,1,2,3,1,1,29,employer,no,WI,Wisconsin,0.796875,0.234375,-0.5142857142857142,-0.6785714285714286,$,purple,Robert,Holt,"Madison, Wisconsin",A
3,3,2,1,2,2,2,2,2,2,2,2,2,4,4,1,1,1,1,1,1,2,0,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,4,2,8,2,7,4,1,5,1,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,5,5,4,4,3,4,4,2,3,2,2,3,2,4,4,3,4,4,4,2,2,5,1,2,2,3,1,3,10,1,3,LOS ANGELES,4,1,2,6,7,4,5,8,1,1,1,2,3,4,1,62,medicare,family_serving,CA,California,0.78125,0.296875,-0.5142857142857142,-0.42857142857142855,$,blue,Bobby,Parrish,"Los Angeles, California",C
3,3,2,2,2,2,2,2,2,2,1,2,2,4,4,5,2,2,1,1,1,2,0,1,1,2,1,1,1,2,2,2,2,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,1,1,2,2,2,2,2,4,3,7,3,7,4,3,5,1,1,2,2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,2,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,1,1,1,,2,3,1,5,7,1,1,SEATTLE-TACOMA,2,2,2,5,6,3,1,2,4,7,1,2,2,2,1,57,employer,no,WA,Washington,0.59375,0.421875,-0.2,-0.14285714285714285,$$,blue,William,Vo,a suburb of Seattle,J
1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,0,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,2,1,1,1,1,7,7,6,1,5,4,2,5,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,5,1,5,5,2,5,4,3,2,2,2,2,3,2,1,3,2,4,1,1,,2,5,5,12,7,1,1,MILWAUKEE,1,1,2,2,1,1,2,7,1,1,1,2,3,4,1,58,employer,no,WI,Wisconsin,0.234375,0.65625,0.5714285714285714,0.32142857142857145,$$$,purple,David,Parker,"Milwaukee, Wisconsin",S
4,2,2,2,1,2,2,2,2,2,2,2,2,4,4,4,4,4,1,1,1,2,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,7,7,2,7,6,1,5,1,1,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,5,2,2,2,1,1,2,1,3,3,3,1,2,1,1,3,4,0,2,4,2,1,,2,1,1,2,22,2,5,CHICAGO,2,2,2,5,6,3,1,1,4,11,3,2,3,1,1,38,medicaid,no,IL,Illinois,0.8125,0.234375,-0.4857142857142857,-0.6428571428571429,$,blue,Stephen,Nguyen,Chicago,G
